KEYWORD,INTENT,GROUPS,LABELS,VOLUME,YOY TREND,SUM TOP10 CTR,[M] FEATURES,[D] FEATURES,[M] RANK,[M] CHANGE,[M] PAGE,[M] BEST RANK,[M] BEST RANK DATE,[M] AIO Brand Mention,[M] AIO Cited Rank,[M] AIO Cited Rank Change,[M] AIO Citation Status,[M] AIO Cited URL,[D] RANK,[D] CHANGE,[D] PAGE,[D] BEST RANK,[D] BEST RANK DATE,[D] AIO Brand Mention,[D] AIO Cited Rank,[D] AIO Cited Rank Change,[D] AIO Citation Status,[D] AIO Cited URL,DIFFICULTY,OPPORTUNITY,ADDED ON
villas canaries,transactional,Spain,,2900,-19%,68%,"Video Carousel, Images pack, Hotels",Hotels,1,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands,3,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
private villas in greece with pool,transactional,Greece | AI Overview Mobile,,1900,0%,83%,"Video Carousel, Images pack, Hotels, AI Overview",Images pack,6,-,https://www.solmarvillas.com/inspiration/greek-villas-with-pools,4,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/inspiration/greek-villas-with-pools,3,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
couple villa,informational,Generics | AI Overview Mobile,,320,88%,86%,"Images pack, AI Overview",Images pack,3,-,https://www.solmarvillas.com/villa-types/villas-for-couples,2,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/villa-types/villas-for-couples,2,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
spanish villa rental,transactional,Spain | AI Overview Desktop,,2900,-32%,87%,"Video Carousel, Images pack, Local pack","Local pack, AI Overview",3,-,https://www.solmarvillas.com/destinations/spain-villas,2,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/destinations/spain-villas,3,2025-10-16,Mentioned,4,-,,https://www.solmarvillas.com/destinations/spain-villas,Top10,0,2025-10-16
last minute holiday villas,transactional,Generics,Seasonal,1300,-18%,100%,Images pack,-,2,-,https://www.solmarvillas.com/offers/last-minute-deals,2,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/offers/last-minute-deals,2,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas in kefalonia,transactional,Greece,,3600,-18%,68%,"Images pack, Hotels","Images pack, Hotels",2,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia,2,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia,1,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
lanzarote villa holidays,transactional,Spain,Seasonal,1000,0%,97%,"Video Carousel, Images pack, Local pack, Questions","Images pack, Local pack, Questions",1,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/lanzarote,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/lanzarote,1,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villa holidays 2026 with private pool,transactional,Generics | AI Overview Desktop,,320,2300%,87%,"Video Carousel, Images pack, Local pack","Ads Pack Down, Images pack, Local pack, Questions, AI Overview",2,-,https://www.solmarvillas.com/offers/2026-villa-holidays,2,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/offers/2026-villa-holidays,2,2025-10-17,Mentioned,2,-,,https://www.solmarvillas.com/offers/2026-villa-holidays,Top10,0,2025-10-16
romantic villas with private pool,commercial,Generics | AI Overview Desktop | AI Overview Mobile,,40,1000%,73%,"Images pack, Local pack, AI Overview","Images pack, Local pack, AI Overview",1,-,https://www.solmarvillas.com/villa-types/villas-for-couples,1,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/villa-types/villas-for-couples,1,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
luxury villas with private pool,commercial,Generics | AI Overview Mobile,,210,91%,81%,"Images pack, Local pack, AI Overview","Images pack, Local pack",4,-,https://www.solmarvillas.com/villa-types/villas-with-private-pool-no-car-needed,3,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,3,-,https://www.solmarvillas.com/villa-types/villas-with-private-pool-no-car-needed,3,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
small villas with pool,transactional,Generics,,70,29%,95%,"Images pack, Local pack","Images pack, Local pack",1,-,https://www.solmarvillas.com/villa-types/small-villas-with-private-pool,1,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,1,-,https://www.solmarvillas.com/villa-types/small-villas-with-private-pool,1,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villa holidays including flights,commercial,Generics,,320,-19%,100%,"Video Carousel, Images pack",Images pack,2,-,https://www.solmarvillas.com/villa-holidays-with-flights,2,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/villa-holidays-with-flights,2,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villas in gale,transactional,Portugal | AI Overview Mobile,,170,100%,94%,"Images pack, AI Overview",-,1,-,https://www.solmarvillas.com/destinations/portugal-villas/algarve/gale,1,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,2,-,https://www.solmarvillas.com/destinations/portugal-villas/algarve/gale,2,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
villa holiday,informational,Generics,,33100,-33%,100%,Images pack,Images pack,6,-,https://www.solmarvillas.com/,5,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,6,-,https://www.solmarvillas.com/,5,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,10,2025-10-16
greek villa,commercial,Greece | AI Overview Desktop | AI Overview Mobile,,14800,-18%,65%,"Video Carousel, Images pack, Questions, AI Overview","Images pack, Knowledge Graph, Questions, AI Overview",15,-,https://www.solmarvillas.com/destinations/greece-villas,15,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,16,-,https://www.solmarvillas.com/destinations/greece-villas,16,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Easy,10,2025-10-16
rent villa,transactional,Generics,,8100,-18%,100%,Images pack,"Images pack, Local pack",16,-,https://www.solmarvillas.com/villa-types,15,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,16,-,https://www.solmarvillas.com/villa-types,12,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,Easy,10,2025-10-16
villas in ibiza,transactional,Spain,,8100,0%,68%,"Images pack, Hotels",Hotels,7,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/ibiza,7,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,6,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/ibiza,6,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,10,2025-10-16
holidays to portugal,transactional,Portugal,,33100,-18%,98%,"Video Carousel, Images pack, Questions",Questions,100,-,https://www.solmarvillas.com/,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/portugal-villas,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,10,2025-10-16
majorca holidays,transactional,Spain,Seasonal,33100,-18%,98%,"Images pack, Questions",Questions,62,-,https://www.solmarvillas.com/,62,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/majorca,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,10,2025-10-16
villa in albufeira,transactional,Portugal,,3600,52%,64%,"Images pack, Hotels","Ads Pack Down, Images pack, Questions, Hotels",11,-,https://www.solmarvillas.com/destinations/portugal-villas/algarve/albufeira/villa-sao-joao,11,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,14,-,https://www.solmarvillas.com/destinations/portugal-villas/algarve/albufeira/villa-sao-joao,10,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Easy,10,2025-10-16
holidays at easter,transactional,Generics | AI Overview Desktop,Seasonal,22200,0%,84%,"Video Carousel, Images pack, Questions","Questions, AI Overview",100,-,https://www.solmarvillas.com/offers/2025-villa-holidays,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/offers/2025-villa-holidays,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,9,2025-10-16
villa holidays florida,informational,USA,,2900,-18%,99%,"Video Carousel, Images pack","Images pack, Questions",9,-,https://www.solmarvillas.com/destinations/usa-villas/florida,9,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,9,-,https://www.solmarvillas.com/destinations/usa-villas/florida,9,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,9,2025-10-16
where is hot in october,informational,Generics | AI Overview Desktop | AI Overview Mobile,Seasonal,22200,-18%,69%,"Video Carousel, Images pack, Questions, AI Overview","Questions, AI Overview",61,-,https://www.solmarvillas.com/inspiration/travel-tips/where-is-hot-in-october,58,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,60,-,https://www.solmarvillas.com/inspiration/travel-tips/where-is-hot-in-october,60,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,9,2025-10-16
portugal villas with private pool,transactional,Portugal | AI Overview Mobile,,1900,0%,90%,"Video Carousel, Images pack, Local pack, AI Overview","Images pack, Local pack",9,-,https://www.solmarvillas.com/,8,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,10,-,https://www.solmarvillas.com/,9,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,9,2025-10-16
where is hot in february,informational,Generics | AI Overview Desktop | AI Overview Mobile,,18100,-18%,70%,"Video Carousel, Images pack, Questions, AI Overview","Questions, AI Overview",100,-,https://www.solmarvillas.com/inspiration/travel-tips/best-places-to-visit-in-europe-in-2022,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/inspiration/travel-tips/best-places-to-visit-in-europe-in-2022,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,9,2025-10-16
villas sicily,transactional,Italy,,2400,-21%,68%,"Video Carousel, Images pack, Hotels","Ads Pack Down, Images pack, Hotels",18,-,https://www.solmarvillas.com/destinations/italy-villas/sicily,18,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,15,-,https://www.solmarvillas.com/destinations/italy-villas/sicily,15,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Easy,8,2025-10-16
portugal villas with pools,transactional,Portugal,,1600,26%,68%,"Images pack, Hotels","Ads Pack Down, Images pack, Hotels",11,-,https://www.solmarvillas.com/,10,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,9,-,https://www.solmarvillas.com/,8,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,N/A,8,2025-10-16
luxury villas italy,transactional,Italy | AI Overview Mobile,,1000,22%,87%,"Video Carousel, Images pack, AI Overview","Images pack, Knowledge Graph",46,-,https://www.solmarvillas.com/,46,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,51,-,https://www.solmarvillas.com/,44,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Easy,8,2025-10-16
villa in florida,informational,USA,,1900,-19%,68%,"Video Carousel, Images pack, Questions, Hotels","Images pack, Hotels",9,-,https://www.solmarvillas.com/destinations/usa-villas/florida,8,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,9,-,https://www.solmarvillas.com/destinations/usa-villas/florida,9,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,7,2025-10-16
villa rentals in greece,transactional,Greece,,2900,0%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",8,-,https://www.solmarvillas.com/destinations/greece-villas,7,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/greece-villas,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,7,2025-10-16
luxury villa algarve,commercial,Portugal,,880,22%,84%,"Video Carousel, Images pack, Local pack","Images pack, Local pack",54,-,https://www.solmarvillas.com/destinations/portugal-villas/algarve,54,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,54,-,https://www.solmarvillas.com/destinations/portugal-villas/algarve,54,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Easy,7,2025-10-16
heated pool villas,informational,Generics,,590,156%,98%,"Video Carousel, Images pack, Local pack","Images pack, Questions",7,-,https://www.solmarvillas.com/villa-types/villas-with-heated-pools,7,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,6,-,https://www.solmarvillas.com/villa-types/villas-with-heated-pools,6,2025-10-27,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,7,2025-10-16
holiday villas to rent in sicily,transactional,Italy,,1600,-23%,67%,"Video Carousel, Hotels","Questions, Hotels",16,-,https://www.solmarvillas.com/destinations/italy-villas/sicily,16,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,17,-,https://www.solmarvillas.com/destinations/italy-villas/sicily,17,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Easy,7,2025-10-16
villa rentals cyprus,transactional,Cyprus,,2400,-33%,68%,"Video Carousel, Images pack, Hotels",Hotels,8,-,https://www.solmarvillas.com/destinations/cyprus-villas,8,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,6,-,https://www.solmarvillas.com/destinations/cyprus-villas,6,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,7,2025-10-16
family villa holiday,commercial,Generics,,1000,-18%,100%,Images pack,-,17,-,https://www.solmarvillas.com/,17,2025-10-27,No Brand Mentioned,Not Cited,-,,Not Cited,17,-,https://www.solmarvillas.com/villa-types/family-villa-holidays,16,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Easy,7,2025-10-16
villas to rent lanzarote,transactional,Spain,,2400,-21%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",6,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/lanzarote,6,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/lanzarote,5,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,7,2025-10-16
estepona villas,transactional,Spain,,880,14%,97%,"Video Carousel, Images pack, Hotels",-,8,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-del-sol/estepona,7,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,7,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-del-sol/estepona,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,7,2025-10-16
villa on greek island,transactional,Greece,,1000,0%,99%,"Video Carousel, Images pack, Local pack, Questions",Images pack,6,-,https://www.solmarvillas.com/destinations/greece-villas,6,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,6,-,https://www.solmarvillas.com/destinations/greece-villas,6,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,7,2025-10-16
all inclusive villa,commercial,Generics | AI Overview Desktop | AI Overview Mobile,,1000,-12%,73%,"Images pack, Questions, AI Overview","Images pack, Questions, AI Overview",40,-,https://www.solmarvillas.com/,40,2025-10-27,Only Others Mentioned,Not Cited,-,,Not Cited,41,-,https://www.solmarvillas.com/,41,2025-10-27,Only Others Mentioned,Not Cited,-,,Not Cited,Easy,6,2025-10-16
luxury villas in crete,commercial,Greece,,720,0%,86%,"Video Carousel, Images pack, Local pack","Images pack, Local pack",59,-,https://www.solmarvillas.com/,59,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,55,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/crete,55,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Easy,6,2025-10-16
summer villas,transactional,Generics,,480,23%,100%,Images pack,Images pack,14,-,https://www.solmarvillas.com/,13,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,14,-,https://www.solmarvillas.com/,13,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Easy,6,2025-10-16
villas for rent playa blanca,informational,Spain,,1000,14%,68%,"Video Carousel, Images pack, Hotels",Hotels,6,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/lanzarote/playa-blanca,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,6,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/lanzarote/playa-blanca,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,6,2025-10-16
villa in zakynthos,transactional,Greece,,2400,-33%,68%,"Images pack, Hotels","Images pack, Hotels",4,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/zakynthos,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/zakynthos,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,6,2025-10-16
best places to visit in europe,informational,Generics | AI Overview Desktop,,6600,-19%,87%,"Video Carousel, Questions","Questions, AI Overview",100,-,https://www.solmarvillas.com/inspiration/travel-tips/21-places-to-visit-in-europe,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/inspiration/travel-tips/21-places-to-visit-in-europe,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,6,2025-10-16
holidays in october half term,transactional,Generics | AI Overview Desktop | AI Overview Mobile,Seasonal,5400,-18%,72%,"Images pack, Questions, AI Overview","Questions, AI Overview",100,-,https://www.solmarvillas.com/inspiration/family-travel/family-friendly-holidays-in-october,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/inspiration/family-travel/family-friendly-holidays-in-october,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,5,2025-10-16
private villa rentals,transactional,Generics | AI Overview Desktop | AI Overview Mobile,,480,50%,64%,"Video Carousel, Images pack, Local pack, AI Overview","Images pack, Local pack, AI Overview",8,-,https://www.solmarvillas.com/villa-types/villas-with-private-pool-no-car-needed,5,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,8,-,https://www.solmarvillas.com/villa-types/villas-with-private-pool-no-car-needed,8,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,5,2025-10-16
private villas in spain,transactional,Spain,,480,-19%,99%,"Images pack, Questions",Questions,10,-,https://www.solmarvillas.com/,10,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,10,-,https://www.solmarvillas.com/destinations/spain-villas,10,2025-10-17,Only Others Mentioned,4,-,,https://www.solmarvillas.com/villa-types/villas-with-private-pool-no-car-needed,Top10,5,2025-10-16
villas in menorca with private pool,transactional,Spain | AI Overview Desktop | AI Overview Mobile,,720,-18%,69%,"Video Carousel, Images pack, Local pack, AI Overview","Images pack, Local pack, AI Overview",7,-,https://www.solmarvillas.com/,6,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,7,-,https://www.solmarvillas.com/,6,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,5,2025-10-16
luxury villas lanzarote,commercial,Spain,,720,-33%,85%,"Video Carousel, Images pack, Local pack","Images pack, Local pack",5,-,https://www.solmarvillas.com/inspiration/luxury/lanzarote-luxe-villas,5,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,7,-,https://www.solmarvillas.com/inspiration/luxury/lanzarote-luxe-villas,6,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,5,2025-10-16
luxury villa in south of france,transactional,France,,390,0%,79%,"Images pack, Local pack","Images pack, Local pack",18,-,https://www.solmarvillas.com/destinations/france-villas/south-of-france,18,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,17,-,https://www.solmarvillas.com/destinations/france-villas/south-of-france,17,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Easy,5,2025-10-16
villas in fuerteventura with private pool,transactional,Spain,,590,-33%,100%,Images pack,Images pack,8,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/fuerteventura,6,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,6,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/fuerteventura,6,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,5,2025-10-16
new year holidays,transactional,Generics | AI Overview Desktop | AI Overview Mobile,Seasonal,2400,24%,68%,"Questions, AI Overview, Visual Digest","Images pack, Knowledge Graph, Questions, AI Overview, Visual Digest",100,-,https://www.solmarvillas.com/offers/winter-sun-villa-holidays,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/offers/winter-sun-villa-holidays,100,N/A,Only Others Mentioned,Not Cited,-,,Not Cited,Hard,5,2025-10-16
villa to rent in france,transactional,France,,1600,-23%,68%,"Video Carousel, Hotels",Hotels,51,-,https://www.solmarvillas.com/destinations/france-villas,49,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,43,-,https://www.solmarvillas.com/destinations/france-villas,41,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Medium,4,2025-10-16
villas to rent in costa blanca,transactional,Spain | AI Overview Mobile,Seasonal,720,24%,62%,"Hotels, AI Overview",Hotels,3,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-blanca,3,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-blanca,3,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,0,2025-10-16
nerja villa rentals,transactional,Spain,Seasonal,480,-18%,68%,"Images pack, Hotels","Images pack, Hotels",8,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/andalucia/nerja,8,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,8,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/andalucia/nerja,8,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,4,2025-10-16
amalfi coast villa rentals,transactional,Italy,,720,-46%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",6,-,https://www.solmarvillas.com/destinations/italy-villas/amalfi-coast,6,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,6,-,https://www.solmarvillas.com/destinations/italy-villas/amalfi-coast,6,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,4,2025-10-16
new villas,informational,Generics,,210,53%,75%,Images pack,"Images pack, Questions",22,-,https://www.solmarvillas.com/,22,2025-10-27,Only Others Mentioned,Not Cited,-,,Not Cited,24,-,https://www.solmarvillas.com/,24,2025-10-27,Only Others Mentioned,Not Cited,-,,Not Cited,Easy,4,2025-10-16
hot holidays in november,informational,Generics | AI Overview Desktop | AI Overview Mobile,Seasonal,2400,-18%,69%,"Video Carousel, Images pack, Questions, AI Overview","Questions, AI Overview",100,-,https://www.solmarvillas.com/offers/winter-sun-villa-holidays,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/offers/winter-sun-villa-holidays,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,4,2025-10-16
holidays in august,transactional,Generics,Seasonal,1600,-18%,96%,"Images pack, Questions","Images pack, Questions",100,-,https://www.solmarvillas.com/villa-holidays-with-flights,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/villa-holidays-with-flights,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,4,2025-10-16
villas and flights portugal,transactional,Portugal,,260,0%,100%,Images pack,Questions,5,-,https://www.solmarvillas.com/villa-holidays-with-flights,5,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/villa-holidays-with-flights,5,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,4,2025-10-16
hot holidays in march,informational,Generics | AI Overview Desktop | AI Overview Mobile,Seasonal,1900,-19%,69%,"Video Carousel, Images pack, Questions, AI Overview","Questions, AI Overview",100,-,https://www.solmarvillas.com/offers/last-minute-deals,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/offers/last-minute-deals,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,4,2025-10-16
cyprus family holidays,transactional,Cyprus | AI Overview Desktop | AI Overview Mobile,,1300,0%,71%,"Images pack, Questions, AI Overview","Images pack, Questions, AI Overview",89,-,https://www.solmarvillas.com/,89,2025-10-17,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/cyprus-villas,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,3,2025-10-16
gran canaria villas to rent,transactional,Spain,,210,50%,68%,Hotels,Hotels,5,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/gran-canaria,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/gran-canaria,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,3,2025-10-16
amalfi coast villa holidays,transactional,Italy,,170,24%,94%,"Video Carousel, Images pack, Local pack",Images pack,5,-,https://www.solmarvillas.com/destinations/italy-villas/amalfi-coast,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/destinations/italy-villas/amalfi-coast,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,3,2025-10-16
villas to rent in greece with private pool,informational,Greece | AI Overview Desktop | AI Overview Mobile,,210,24%,73%,"Video Carousel, Local pack, Questions, AI Overview",AI Overview,7,-,https://www.solmarvillas.com/inspiration/greek-villas-with-pools,7,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/inspiration/greek-villas-with-pools,5,2025-10-17,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,3,2025-10-16
halkidiki villas,transactional,Greece,Seasonal,480,-33%,71%,"Video Carousel, Images pack, Questions, Hotels","Images pack, Hotels",6,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/halkidiki,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/greece-villas/mainland-greece/halkidiki,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,3,2025-10-16
luxury villas in turkey,commercial,Turkey | AI Overview Desktop | AI Overview Mobile,,260,-19%,57%,"Video Carousel, Images pack, Local pack, AI Overview","Images pack, AI Overview",9,-,https://www.solmarvillas.com/destinations/turkey-villas,9,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,9,-,https://www.solmarvillas.com/destinations/turkey-villas,8,2025-10-16,Only Others Mentioned,Not Cited,-,,Not Cited,Top10,3,2025-10-16
